DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
HARDIN-JEFFERSON ISD,'100905,2599,HARDIN-JEFFERSON H S,'100905001,734, , , , , ,63,5,1,0,67
HARDIN-JEFFERSON ISD,'100905,2599,HARDIN CO J J A E P,'100905004,0, , , , , , , , , , 
HARDIN-JEFFERSON ISD,'100905,2599,NEW AE,'100905005,<10, , , , , , , , , , 
HARDIN-JEFFERSON ISD,'100905,2599,HENDERSON MIDDLE,'100905041,563, , , , , ,48,10,0,3,55
HARDIN-JEFFERSON ISD,'100905,2599,CHINA EL,'100905102,<550, , , , , ,*,6,*,*,*
HARDIN-JEFFERSON ISD,'100905,2599,SOUR LAKE EL,'100905105,753, , , , , ,61,7,1,2,65
HARDIN-JEFFERSON ISD TOTAL,'100905,2599,,,2599, , , , , ,*,28,*,*,*
LUMBERTON ISD,'100907,4246,LUMBERTON H S,'100907001,1240, , , , , , , , , , 
LUMBERTON ISD,'100907,4246,HARDIN CO ALTER ED,'100907003,0, , , , , , , , , , 
LUMBERTON ISD,'100907,4246,LUMBERTON MIDDLE,'100907041,667, , , , , , , , , , 
LUMBERTON ISD,'100907,4246,LUMBERTON PRI,'100907101,960, , , , , , , , , , 
LUMBERTON ISD,'100907,4246,"LUMBERTON EARLY CHILDHOOD
SCH",'100907102,432, , , , , , , , , , 
LUMBERTON ISD,'100907,4246,LUMBERTON INT,'100907103,947, , , , , , , , , , 
LUMBERTON ISD TOTAL,'100907,4246,,,4246, , , , , , , , , , 
WEST HARDIN COUNTY CISD,'100908,593,WEST HARDIN H S,'100908001,291, , , , , ,37,8,0,0,45
WEST HARDIN COUNTY CISD,'100908,593,HARDIN CO ALTERNATIVE AEP,'100908003,0, , , , , , , , , , 
WEST HARDIN COUNTY CISD,'100908,593,WEST HARDIN EL,'100908101,302, , , , , , , , , , 
"WEST HARDIN COUNTY CISD
TOTAL",'100908,593,,,593, , , , , ,37,8,0,0,45
HARRIS COUNTY DEPT OF ED,'101000,0,HIGHPOINT SCHOOL NORTH,'101000001,0, , , , , , , , , , 
HARRIS COUNTY DEPT OF ED,'101000,0,HIGHPOINT SCHOOL EAST,'101000002,0, , , , , , , , , , 
HARRIS COUNTY DEPT OF ED,'101000,0,"ACADEMIC BEHAVIOR SCHOOL
EAST",'101000003,0, , , , , ,*,0,*,*,*
HARRIS COUNTY DEPT OF ED,'101000,0,"ACADEMIC BEHAVIOR SCHOOL
WEST",'101000004,0, , , , , , , , , , 
"HARRIS COUNTY DEPT OF ED
TOTAL",'101000,0,,,0, , , , , ,*,0,*,*,*
SER-NINOS CHARTER SCHOOL,'101802,880,SER-NINOS CHARTER MIDDLE,'101802041,254,*,0,*,*,*,*,0,*,*,*
SER-NINOS CHARTER SCHOOL,'101802,880,SER-NINOS CHARTER EL,'101802101,405, , , , , ,9,1,0,0,10
SER-NINOS CHARTER SCHOOL,'101802,880,SER-NINOS CHARTER EL II,'101802102,221,*,0,*,*,*,15,1,0,1,15
"SER-NINOS CHARTER SCHOOL
TOTAL",'101802,880,,,880,*,0,*,*,*,*,2,*,*,*
ARISTOI CLASSICAL ACADEMY,'101803,1213,"ARISTOI CLASSICAL UPPER
SCHOOL",'101803001,565, , , , , ,51,3,0,0,54
ARISTOI CLASSICAL ACADEMY,'101803,1213,ARISTOI CLASSICAL ACADEMY,'101803002,216, , , , , ,*,1,*,*,*
ARISTOI CLASSICAL ACADEMY,'101803,1213,ARISTOI CLASSICAL ACADEMY,'101803041,432, , , , , ,*,0,*,*,*
"ARISTOI CLASSICAL ACADEMY
TOTAL",'101803,1213,,,1213, , , , , ,*,4,*,*,*
GEORGE I SANCHEZ CHARTER,'101804,979,GEORGE I SANCHEZ CHARTER,'101804001,598, , , , , ,7,3,0,5,5
GEORGE I SANCHEZ CHARTER,'101804,979,GEORGE I SANCHEZ NORTH,'101804004,381, , , , , ,6,0,0,6,0
GEORGE I SANCHEZ CHARTER,'101804,979,,"Multiple
Campus",, , , , , ,0,18,2,10,6
"GEORGE I SANCHEZ CHARTER
TOTAL",'101804,979,,,979, , , , , ,13,21,2,21,11
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,EARLY COLLEGE T-STEM ACADEMY,'101806001,312, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,EARLY COLLEGE STEM ACADEMY,'101806042,304, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,NORTH EAST STEM ACADEMY,'101806043,14, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,BRYSS ACADEMY,'101806101,477, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,PSTEM ACADEMY,'101806102,428, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS",'101806,1552,"LEONEL CASTILLO EARLY
CHILDHOOD STEM ACADEMY",'101806103,17, , , , , , , , , , 
"RAUL YZAGUIRRE SCHOOLS
FOR SUCCESS TOTAL",'101806,1552,,,1552, , , , , , , , , , 
"ACADEMY OF ACCELERATED
LEARNING INC",'101810,926,"ACADEMY OF ACCELERATED
LEARNING",'101810002,926, , , , , , , , , , 
"ACADEMY OF ACCELERATED
LEARNING INC TOTAL",'101810,926,,,926, , , , , , , , , , 
EXCEL ACADEMY,'101811,258,"HARRIS COUNTY JUVENILE
DETENTION CENTER",'101811001,123, , , , , , , , , , 
EXCEL ACADEMY,'101811,258,HARRIS COUNTY YOUTH VILLAGE,'101811004,37, , , , , , , , , , 
EXCEL ACADEMY,'101811,258,LEADERSHIP ACADEMY,'101811006,52, , , , , , , , , , 
EXCEL ACADEMY,'101811,258,"EXCEL ACADEMY EDUCATION
TRANSITION CENTER",'101811008,46, , , , , , , , , , 
EXCEL ACADEMY TOTAL,'101811,258,,,258, , , , , , , , , , 
THE VARNETT PUBLIC SCHOOL,'101814,1170,VARNETT CHARTER SCHOOL,'101814101,536, , , , , ,*,1,*,*,*
THE VARNETT PUBLIC SCHOOL,'101814,1170,"THE VARNETT SCHOOL -
NORTHEAST",'101814102,380, , , , , , , , , , 
THE VARNETT PUBLIC SCHOOL,'101814,1170,THE VARNETT SCHOOL - EAST,'101814103,254, , , , , , , , , , 
"THE VARNETT PUBLIC SCHOOL
TOTAL",'101814,1170,,,1170, , , , , ,*,1,*,*,*
"ALIEF MONTESSORI COMMUNITY
SCHOOL",'101815,355,"ALIEF MONTESSORI COMMUNITY
SCHOOL",'101815101,355, , , , , ,*,2,*,*,*
"ALIEF MONTESSORI
COMMUNITY SCHOOL TOTAL",'101815,355,,,355, , , , , ,*,2,*,*,*
"AMIGOS POR VIDA-FRIENDS FOR
LIFE PUB CHTR SCH",'101819,566,"AMIGOS POR VIDA-FRIENDS FOR
LIFE CHARTER SCHOOL",'101819001,566, , , , , , , , , , 
"AMIGOS POR VIDA-FRIENDS FOR
LIFE PUB CHTR SCH TOTAL",'101819,566,,,566, , , , , , , , , , 
"HOUSTON HEIGHTS HIGH
SCHOOL",'101821,165,"HOUSTON HEIGHTS CHARTER
SCHOOL",'101821001,165, , , , , ,*,1,*,*,*
"HOUSTON HEIGHTS HIGH
SCHOOL TOTAL",'101821,165,,,165, , , , , ,*,1,*,*,*
"HOUSTON GATEWAY ACADEMY
INC",'101828,2097,"HOUSTON GATEWAY ACADEMY -
CORAL CAMPUS",'101828001,867, , , , , ,37,1,0,38,0
"HOUSTON GATEWAY ACADEMY
INC",'101828,2097,"HOUSTON GATEWAY ACADEMY INC
ELITE COLLEGE PREP",'101828002,597, , , , , ,33,1,0,34,0
"HOUSTON GATEWAY ACADEMY
INC",'101828,2097,HOUSTON GATEWAY ACADEMY,'101828101,633, , , , , ,20,2,0,22,0
"HOUSTON GATEWAY ACADEMY
INC TOTAL",'101828,2097,,,2097, , , , , ,90,4,0,94,0
"CALVIN NELMS CHARTER
SCHOOLS",'101837,298,CALVIN NELMS H S,'101837001,151, , , , , ,*,0,*,*,*
"CALVIN NELMS CHARTER
SCHOOLS",'101837,298,CALVIN NELMS MIDDLE,'101837041,147, , , , , ,*,0,*,*,*
"CALVIN NELMS CHARTER
SCHOOLS TOTAL",'101837,298,,,298, , , , , ,5,0,0,4,1
SOUTHWEST SCHOOL,'101838,1547,EMPOWERMENT H S,'101838001,392, , , , , ,5,0,0,2,3
SOUTHWEST SCHOOL,'101838,1547,"PHOENIX SCHOOL AT SOUTHWEST
SCHOOLS",'101838004,121, , , , , ,*,1,*,*,*
SOUTHWEST SCHOOL,'101838,1547,DISCOVERY MIDDLE,'101838041,240, , , , , ,*,2,*,*,*
SOUTHWEST SCHOOL,'101838,1547,"SOUTHWEST SCHOOLS BISSONNET
EL CAMPUS",'101838102,439, , , , , ,13,6,1,14,4
SOUTHWEST SCHOOL,'101838,1547,"SOUTHWEST SCHOOLS MANGUM
EL CAMPUS",'101838104,355, , , , , ,*,2,*,*,*
SOUTHWEST SCHOOL TOTAL,'101838,1547,,,1547, , , , , ,28,11,2,28,9
"TWO DIMENSIONS
PREPARATORY ACADEMY",'101840,448,"TWO DIMENSIONS PREPARATORY
ACADEMY",'101840101,163, , , , , , , , , , 
