DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
COMAL ISD,'046902,27478,PIEPER RANCH MIDDLE,'046902047,1484,*,0,*,*,*,104,17,11,44,66
COMAL ISD,'046902,27478,DANVILLE MIDDLE,'046902048,955,*,0,*,*,*,43,4,3,28,16
COMAL ISD,'046902,27478,RAHE BULVERDE EL,'046902101,458, , , , , ,36,5,3,26,12
COMAL ISD,'046902,27478,GARDEN RIDGE EL,'046902102,838,5,2,2,1,4,63,12,33,16,26
COMAL ISD,'046902,27478,GOODWIN FRAZIER EL,'046902104,649, , , , , ,29,11,3,20,17
COMAL ISD,'046902,27478,STARTZVILLE EL,'046902105,454, , , , , ,37,4,15,13,13
COMAL ISD,'046902,27478,BILL BROWN EL,'046902107,850, , , , , ,126,16,37,40,65
COMAL ISD,'046902,27478,ARLON R SEAY EL,'046902110,433,*,0,*,*,*,41,5,0,22,24
COMAL ISD,'046902,27478,MH SPECHT EL,'046902111,791, , , , , ,47,10,6,22,29
COMAL ISD,'046902,27478,HOFFMANN LANE EL,'046902112,759, , , , , ,58,11,17,25,27
COMAL ISD,'046902,27478,REBECCA CREEK EL,'046902113,589,*,0,*,*,*,36,8,2,28,14
COMAL ISD,'046902,27478,TIMBERWOOD PARK EL,'046902114,743,*,0,*,*,*,41,4,5,27,13
COMAL ISD,'046902,27478,FREIHEIT EL,'046902115,807, , , , , ,30,17,9,15,23
COMAL ISD,'046902,27478,MORNINGSIDE EL,'046902117,772,*,0,*,*,*,40,12,9,20,23
COMAL ISD,'046902,27478,CLEAR SPRING EL,'046902119,798,*,2,*,*,*,54,13,19,25,23
COMAL ISD,'046902,27478,MT VALLEY EL,'046902120,463,*,0,*,*,*,32,9,1,17,23
COMAL ISD,'046902,27478,JOHNSON RANCH EL,'046902121,806,*,0,*,*,*,129,19,12,23,113
COMAL ISD,'046902,27478,KINDER RANCH EL,'046902122,569,*,0,*,*,*,31,10,17,14,10
COMAL ISD,'046902,27478,OAK CREEK EL,'046902123,713, , , , , ,34,9,6,11,26
COMAL ISD,'046902,27478,INDIAN SPRINGS EL,'046902125,776,8,1,1,3,5,69,11,16,28,36
COMAL ISD,'046902,27478,COMAL ACADEMY,'046902201,46, , , , , , , , , , 
COMAL ISD,'046902,27478,COMAL DISCIPLINE CENTER,'046902206,<40, , , , , ,*,1,*,*,*
COMAL ISD,'046902,27478,JJAEP,'046902210,<10, , , , , , , , , , 
COMAL ISD,'046902,27478,,"Multiple
Campus",, , , , , ,0,4,0,4,0
COMAL ISD TOTAL,'046902,27478,,,27478,47,7,7,17,30,2060,368,390,848,1190
COMANCHE ISD,'047901,1328,COMANCHE H S,'047901001,358, , , , , ,29,3,0,0,32
COMANCHE ISD,'047901,1328,JEFFERIES J H,'047901041,282, , , , , ,16,3,0,0,19
COMANCHE ISD,'047901,1328,COMANCHE EL,'047901101,621,*,0,*,*,*,32,12,0,0,44
COMANCHE ISD,'047901,1328,"COMANCHE EARLY CHILDHOOD
CENTER",'047901103,67, , , , , ,*,0,*,*,*
COMANCHE ISD TOTAL,'047901,1328,,,1328,*,0,*,*,*,*,18,*,*,*
DE LEON ISD,'047902,758,DE LEON H S,'047902001,244, , , , , ,*,0,*,*,*
DE LEON ISD,'047902,758,PERKINS MIDDLE,'047902041,163, , , , , ,*,1,*,*,*
DE LEON ISD,'047902,758,DE LEON EL,'047902101,351, , , , , ,*,1,*,*,*
DE LEON ISD TOTAL,'047902,758,,,758, , , , , ,*,2,*,*,*
GUSTINE ISD,'047903,147,GUSTINE SCHOOL,'047903001,147, , , , , ,*,2,*,*,*
GUSTINE ISD TOTAL,'047903,147,,,147, , , , , ,*,2,*,*,*
SIDNEY ISD,'047905,128,SIDNEY SCHOOL,'047905001,128, , , , , ,*,0,*,*,*
SIDNEY ISD TOTAL,'047905,128,,,128, , , , , ,*,0,*,*,*
EDEN CISD,'048901,217,EDEN CISD,'048901001,<220, , , , , ,*,8,*,*,*
EDEN CISD,'048901,217,EDEN-FAIRVIEW DAEP,'048901006,0, , , , , , , , , , 
EDEN CISD,'048901,217,EDEN-FAIRVIEW ACCELERATED,'048901007,<10, , , , , , , , , , 
EDEN CISD,'048901,217,VERIBEST PPCD,'048901102,0, , , , , , , , , , 
EDEN CISD TOTAL,'048901,217,,,217, , , , , ,*,8,*,*,*
PAINT ROCK ISD,'048903,230,PAINT ROCK SCHOOL,'048903001,220, , , , , ,7,6,5,4,4
PAINT ROCK ISD,'048903,230,"FAIRVIEW ACCELERATED
EDUCATIONAL COOP",'048903002,0, , , , , , , , , , 
PAINT ROCK ISD,'048903,230,FAIRVIEW SCHOOL (DAEP),'048903005,0, , , , , , , , , , 
PAINT ROCK ISD,'048903,230,WALL SPECIAL PROGRAMS,'048903190,<10, , , , , , , , , , 
PAINT ROCK ISD,'048903,230,VERIBEST PPCD,'048903191,<10, , , , , , , , , , 
PAINT ROCK ISD,'048903,230,FAIRVIEW SPECIAL PROGRAMS,'048903195,<10, , , , , , , , , , 
PAINT ROCK ISD TOTAL,'048903,230,,,230, , , , , ,7,6,5,4,4
GAINESVILLE ISD,'049901,3161,GAINESVILLE H S,'049901001,878, , , , , ,*,2,*,*,*
GAINESVILLE ISD,'049901,3161,GAINESVILLE J H,'049901041,449, , , , , ,*,1,*,*,*
GAINESVILLE ISD,'049901,3161,EDISON EL,'049901101,714, , , , , ,*,0,*,*,*
GAINESVILLE ISD,'049901,3161,GAINESVILLE INT,'049901104,437, , , , , ,*,0,*,*,*
GAINESVILLE ISD,'049901,3161,W E CHALMERS EL,'049901107,683, , , , , ,*,0,*,*,*
GAINESVILLE ISD,'049901,3161,,"Multiple
Campus",, , , , , ,0,2,0,0,2
GAINESVILLE ISD TOTAL,'049901,3161,,,3161, , , , , ,39,5,0,2,42
MUENSTER ISD,'049902,466,MUENSTER H S,'049902001,230, , , , , ,*,0,*,*,*
MUENSTER ISD,'049902,466,MUENSTER EL,'049902101,236, , , , , ,0,1,0,1,0
MUENSTER ISD TOTAL,'049902,466,,,466, , , , , ,*,1,*,*,*
VALLEY VIEW ISD,'049903,945,VALLEY VIEW H S,'049903001,275, , , , , ,44,4,0,0,48
VALLEY VIEW ISD,'049903,945,VALLEY VIEW MIDDLE,'049903041,293, , , , , ,19,2,0,0,21
VALLEY VIEW ISD,'049903,945,VALLEY VIEW EL,'049903101,377, , , , , ,*,5,*,*,*
VALLEY VIEW ISD TOTAL,'049903,945,,,945, , , , , ,*,11,*,*,*
CALLISBURG ISD,'049905,1148,CALLISBURG H S,'049905001,348, , , , , ,*,2,*,*,*
CALLISBURG ISD,'049905,1148,DAEP,'049905002,<10, , , , , , , , , , 
CALLISBURG ISD,'049905,1148,CALLISBURG MIDDLE,'049905042,<260, , , , , ,*,0,*,*,*
CALLISBURG ISD,'049905,1148,CALLISBURG EL,'049905101,544, , , , , ,*,2,*,*,*
CALLISBURG ISD TOTAL,'049905,1148,,,1148, , , , , ,*,4,*,*,*
ERA ISD,'049906,495,ERA SCHOOL,'049906001,495, , , , , ,33,2,1,7,27
ERA ISD TOTAL,'049906,495,,,495, , , , , ,33,2,1,7,27
LINDSAY ISD,'049907,488,LINDSAY H S,'049907001,232, , , , , ,*,0,*,*,*
LINDSAY ISD,'049907,488,LINDSAY EL,'049907101,256, , , , , ,9,1,0,1,9
LINDSAY ISD TOTAL,'049907,488,,,488, , , , , ,*,1,*,*,*
WALNUT BEND ISD,'049908,61,WALNUT BEND EL,'049908101,61, , , , , , , , , , 
WALNUT BEND ISD TOTAL,'049908,61,,,61, , , , , , , , , , 
SIVELLS BEND ISD,'049909,70,SIVELLS BEND EL,'049909101,70, , , , , ,0,2,0,2,0
SIVELLS BEND ISD TOTAL,'049909,70,,,70, , , , , ,0,2,0,2,0
EVANT ISD,'050901,211,EVANT H S,'050901001,111, , , , , ,10,1,0,0,11
EVANT ISD,'050901,211,EVANT EL,'050901101,100, , , , , , , , , , 
EVANT ISD TOTAL,'050901,211,,,211, , , , , ,10,1,0,0,11
GATESVILLE ISD,'050902,2751,GATESVILLE H S,'050902001,840, , , , , ,42,1,0,22,21
GATESVILLE ISD,'050902,2751,GATESVILLE J H,'050902041,424, , , , , ,12,3,0,8,7
GATESVILLE ISD,'050902,2751,GATESVILLE EL,'050902101,608, , , , , ,20,3,0,14,9
GATESVILLE ISD,'050902,2751,GATESVILLE PRI,'050902102,266, , , , , ,11,1,1,6,5
GATESVILLE ISD,'050902,2751,GATESVILLE INT,'050902103,613, , , , , ,25,6,0,14,17
GATESVILLE ISD TOTAL,'050902,2751,,,2751, , , , , ,110,14,1,64,59
OGLESBY ISD,'050904,199,OGLESBY SCHOOL,'050904001,199, , , , , ,27,5,0,7,25
OGLESBY ISD TOTAL,'050904,199,,,199, , , , , ,27,5,0,7,25
JONESBORO ISD,'050909,342,JONESBORO SCHOOL,'050909001,342, , , , , , , , , , 
JONESBORO ISD TOTAL,'050909,342,,,342, , , , , , , , , , 
COPPERAS COVE ISD,'050910,8132,COPPERAS COVE H S,'050910001,2279, , , , , ,194,27,3,75,143
COPPERAS COVE ISD,'050910,8132,CROSSROADS H S,'050910005,136, , , , , ,10,2,1,8,3
COPPERAS COVE ISD,'050910,8132,COPPERAS COVE J H,'050910041,945, , , , , ,63,14,0,34,43
COPPERAS COVE ISD,'050910,8132,S C LEE J H,'050910042,930, , , , , ,69,7,2,23,51
COPPERAS COVE ISD,'050910,8132,FAIRVIEW/MISS JEWELL EL,'050910101,527,*,0,*,*,*,38,14,0,33,19
COPPERAS COVE ISD,'050910,8132,HETTIE HALSTEAD EL,'050910102,345,*,0,*,*,*,21,8,1,18,10
COPPERAS COVE ISD,'050910,8132,"C R CLEMENTS/HOLLIE PARSONS
EL",'050910104,853,*,0,*,*,*,41,12,9,17,27
COPPERAS COVE ISD,'050910,8132,"MAE STEVENS EARLY LEARNING
ACADEMY",'050910105,322,*,0,*,*,*,19,2,0,12,9
COPPERAS COVE ISD,'050910,8132,MARTIN WALKER EL,'050910106,411, , , , , ,46,7,14,15,24
COPPERAS COVE ISD,'050910,8132,J L WILLIAMS/LOVETT LEDGER EL,'050910107,728, , , , , ,66,19,6,33,46
COPPERAS COVE ISD,'050910,8132,HOUSE CREEK EL,'050910110,656, , , , , ,53,9,4,21,37
COPPERAS COVE ISD,'050910,8132,,"Multiple
Campus",, , , , , ,0,8,0,4,4
COPPERAS COVE ISD TOTAL,'050910,8132,,,8132,5,0,0,2,3,620,129,40,293,416
PADUCAH ISD,'051901,162,PADUCAH SCHOOL,'051901001,162, , , , , ,7,4,0,9,2
PADUCAH ISD TOTAL,'051901,162,,,162, , , , , ,7,4,0,9,2
CRANE ISD,'052901,1158,CRANE H S,'052901001,329,0,1,0,0,1,16,5,0,0,21
CRANE ISD,'052901,1158,CRANE MIDDLE,'052901041,253, , , , , ,22,4,7,6,13
CRANE ISD,'052901,1158,CRANE EL,'052901101,576, , , , , ,26,5,6,4,21
CRANE ISD TOTAL,'052901,1158,,,1158,0,1,0,0,1,64,14,13,10,55
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,733,OZONA H S,'053001001,236, , , , , ,*,1,*,*,*
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,733,OZONA MIDDLE,'053001041,178, , , , , ,*,1,*,*,*
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,733,OZONA EL,'053001103,319, , , , , ,*,2,*,*,*
"CROCKETT COUNTY
CONSOLIDATED CSD TOTAL",'053001,733,,,733, , , , , ,*,4,*,*,*
CROSBYTON CISD,'054901,331,CROSBYTON SECONDARY,'054901001,173, , , , , , , , , , 
CROSBYTON CISD,'054901,331,CROSBYTON DAEP,'054901003,0, , , , , , , , , , 
CROSBYTON CISD,'054901,331,CROSBYTON EL,'054901101,<160, , , , , , , , , , 
CROSBYTON CISD,'054901,331,SP ED CO-OP,'054901200,<10, , , , , , , , , , 
CROSBYTON CISD,'054901,331,,"Multiple
Campus",, , , , , ,0,1,0,1,0
CROSBYTON CISD TOTAL,'054901,331,,,331, , , , , ,0,1,0,1,0
LORENZO ISD,'054902,239,LORENZO ISD,'054902001,239, , , , , ,18,5,0,3,20
LORENZO ISD TOTAL,'054902,239,,,239, , , , , ,18,5,0,3,20
RALLS ISD,'054903,479,RALLS H S,'054903001,140, , , , , ,*,1,*,*,*
RALLS ISD,'054903,479,RECOVERY EDUCATION CAMPUS,'054903002,<10, , , , , , , , , , 
RALLS ISD,'054903,479,RALLS MIDDLE,'054903041,<120, , , , , ,*,0,*,*,*
RALLS ISD,'054903,479,RALLS EL,'054903102,218, , , , , ,*,1,*,*,*
RALLS ISD TOTAL,'054903,479,,,479, , , , , ,8,2,0,0,10
"CULBERSON
COUNTY-ALLAMOORE ISD",'055901,375,VAN HORN SCHOOL,'055901001,375,*,0,*,*,*,8,4,0,4,8
"CULBERSON
COUNTY-ALLAMOORE ISD
TOTAL",'055901,375,,,375,*,0,*,*,*,8,4,0,4,8
DALHART ISD,'056901,1732,DALHART H S,'056901001,463, , , , , , , , , , 
DALHART ISD,'056901,1732,DALHART J H,'056901042,384, , , , , , , , , , 
DALHART ISD,'056901,1732,DALHART EL,'056901104,524, , , , , , , , , , 
DALHART ISD,'056901,1732,DALHART INT,'056901105,361, , , , , , , , , , 
DALHART ISD TOTAL,'056901,1732,,,1732, , , , , , , , , , 
TEXLINE ISD,'056902,220,TEXLINE SCHOOL,'056902001,220, , , , , ,*,0,*,*,*
TEXLINE ISD TOTAL,'056902,220,,,220, , , , , ,*,0,*,*,*
"PEGASUS SCHOOL OF LIBERAL
ARTS AND SCIENCES",'057802,451,PEGASUS CHARTER H S,'057802001,451, , , , , , , , , , 
"PEGASUS SCHOOL OF LIBERAL
ARTS AND SCIENCES TOTAL",'057802,451,,,451, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATION-NORTH HILLS
PREP H S",'057803002,33, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATION - UPLIFT
GRAND PREPARATORY",'057803003,747, , , , , ,11,0,0,11,0
UPLIFT EDUCATION,'057803,20316,"UPLIFT WILLIAMS PREPARATORY H
S",'057803004,585, , , , , ,*,1,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT LUNA PREPARATORY H S,'057803005,557, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,"UPLIFT HEIGHTS PREPARATORY H
S",'057803006,553, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT HAMPTON PREPARATORY H
S",'057803007,359, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT MIGHTY SCHOOL,'057803008,517, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT SUMMIT INTERNATIONAL H
S",'057803009,469, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT ATLAS PREPARATORY - H S,'057803010,496, , , , , ,0,1,0,0,1
UPLIFT EDUCATION,'057803,20316,UPLIFT GRAND SECONDARY,'057803011,518, , , , , ,13,0,0,10,3
UPLIFT EDUCATION,'057803,20316,UPLIFT LUNA SECONDARY SCHOOL,'057803012,525, , , , , ,9,0,0,3,6
UPLIFT EDUCATION,'057803,20316,UPLIFT INFINITY H S,'057803013,347, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,UPLIFT MIGHTY H S,'057803014,410, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT WISDOM SECONDARY,'057803015,67, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT GRAND H S,'057803016,375, , , , , ,*,2,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT ASCEND,'057803017,802, , , , , ,14,0,0,1,13
UPLIFT EDUCATION,'057803,20316,"UPLIFT ELEVATE PREPARATORY
SCHOOL",'057803018,421, , , , , ,16,0,1,7,8
UPLIFT EDUCATION,'057803,20316,WISDOM H S,'057803019,275, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATION-NORTH HILLS
PREP MIDDLE",'057803041,26, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATION - INFINITY
PREPARATORY MIDDLE SCH",'057803043,350, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,"UPLIFT HAMPTON PREPARATORY
MIDDLE",'057803044,459, , , , , ,8,0,0,6,2
UPLIFT EDUCATION,'057803,20316,"UPLIFT WILLIAMS PREPARATORY
MIDDLE",'057803045,514, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT HEIGHTS PREPARATORY
MIDDLE",'057803046,529, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT SUMMIT INTERNATIONAL
MIDDLE",'057803047,522, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT ATLAS PREPARATORY -
MIDDLE",'057803048,429, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT MIGHTY MIDDLE,'057803049,520, , , , , ,5,0,0,3,2
UPLIFT EDUCATION,'057803,20316,"UPLIFT ELEVATE PREPARATORY
MIDDLE",'057803050,238, , , , , ,15,0,0,12,3
UPLIFT EDUCATION,'057803,20316,UPLIFT ASCEND MIDDLE,'057803051,612, , , , , ,*,1,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATIION-NORTH HILLS
PREP PRI",'057803101,558, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT EDUCATION - INFINITY
PREPARATORY PRI",'057803102,513, , , , , ,7,0,0,4,3
UPLIFT EDUCATION,'057803,20316,UPLIFT GRADUS PREPARATORY,'057803103,562, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT HEIGHTS PREPARATORY
PRI",'057803104,956,0,1,0,0,1,19,4,0,8,15
UPLIFT EDUCATION,'057803,20316,"UPLIFT PINNACLE PREPARATORY
PRI",'057803105,361, , , , , ,*,1,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT TRIUMPH PREPARATORY
SCHOOL",'057803106,443, , , , , ,*,2,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT LUNA PREPARATORY PRI,'057803107,463, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT MERIDIAN SCHOOL,'057803108,499, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT SUMMIT INTERNATIONAL
PRI",'057803109,653, , , , , ,*,1,*,*,*
UPLIFT EDUCATION,'057803,20316,UPLIFT ATLAS PREPARATORY - PRI,'057803110,674, , , , , ,5,1,0,3,3
UPLIFT EDUCATION,'057803,20316,"UPLIFT HAMPTON PREPARATORY
PRI",'057803111,592, , , , , ,15,0,0,9,6
UPLIFT EDUCATION,'057803,20316,"UPLIFT WILLIAMS PREPARATORY
PRI",'057803112,547, , , , , , , , , , 
UPLIFT EDUCATION,'057803,20316,UPLIFT WHITE ROCK HILLS PREP,'057803114,620,*,0,*,*,*,*,5,*,*,*
UPLIFT EDUCATION,'057803,20316,"UPLIFT CRESCENDO
PREPARATORY PRI",'057803115,239, , , , , ,*,0,*,*,*
UPLIFT EDUCATION,'057803,20316,WISDOM PRI,'057803116,381, , , , , ,*,0,*,*,*
UPLIFT EDUCATION TOTAL,'057803,20316,,,20316,*,1,*,*,*,231,19,1,133,116
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - DALLAS
NORTH",'057804001,310, , , , , ,*,1,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - OAK
CLIFF",'057804002,632, , , , , ,20,5,0,6,19
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY -
CARROLLTON-FARMERS BRANCH",'057804003,392, , , , , ,*,0,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY -
PLEASANT GROVE",'057804004,681, , , , , ,*,0,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - GRANT
EAST",'057804005,381, , , , , ,7,0,0,0,7
TEXANS CAN ACADEMIES,'057804,5381,TEXANS CAN ACADEMY - AUSTIN,'057804006,380, , , , , ,*,0,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - FORT
WORTH WESTCREEK",'057804007,352, , , , , ,6,0,0,1,5
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - FORT
WORTH LANCASTER AVENUE",'057804008,537, , , , , ,14,1,1,1,13
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - HOUSTON
NORTH",'057804009,347, , , , , ,*,0,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - HOUSTON
HOBBY",'057804010,381, , , , , ,*,2,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - SAN
ANTONIO",'057804011,348, , , , , ,6,0,0,0,6
TEXANS CAN ACADEMIES,'057804,5381,"TEXANS CAN ACADEMY - HOUSTON
SOUTHWEST",'057804012,414, , , , , ,*,2,*,*,*
TEXANS CAN ACADEMIES,'057804,5381,TEXANS CAN ACADEMY - GARLAND,'057804013,226, , , , , ,12,0,0,1,11
TEXANS CAN ACADEMIES,'057804,5381,,"Multiple
Campus",, , , , , ,0,9,0,2,7
"TEXANS CAN ACADEMIES
TOTAL",'057804,5381,,,5381, , , , , ,96,20,1,17,98
LUMIN EDUCATION,'057805,255,"LUMIN LINDSLEY PARK
COMMUNITY SCHOOL",'057805101,255, , , , , ,10,0,0,7,3
LUMIN EDUCATION TOTAL,'057805,255,,,255, , , , , ,10,0,0,7,3
ADVANTAGE ACADEMY,'057806,1149,ADVANTAGE ACADEMY,'057806101,1149, , , , , ,48,12,0,19,41
ADVANTAGE ACADEMY TOTAL,'057806,1149,,,1149, , , , , ,48,12,0,19,41
LIFE SCHOOL,'057807,5617,LIFE SCHOOL OAK CLIFF,'057807001,1492, , , , , ,90,13,0,0,103
LIFE SCHOOL,'057807,5617,LIFE H S WAXAHACHIE,'057807002,996, , , , , ,93,5,0,0,98
LIFE SCHOOL,'057807,5617,LIFE MIDDLE WAXAHACHIE,'057807041,591, , , , , ,49,13,0,0,62
LIFE SCHOOL,'057807,5617,LIFE SCHOOL RED OAK,'057807101,1026, , , , , ,102,11,0,1,112
LIFE SCHOOL,'057807,5617,LIFE SCHOOL LANCASTER,'057807102,458, , , , , ,34,5,0,0,39
LIFE SCHOOL,'057807,5617,LIFE SCHOOL CEDAR HILL,'057807104,512, , , , , ,48,7,1,0,54
LIFE SCHOOL,'057807,5617,LIFE SCHOOL MOUNTAIN CREEK,'057807105,275, , , , , ,25,10,0,0,35
LIFE SCHOOL,'057807,5617,LIFE SCHOOL CARROLLTON,'057807106,267, , , , , ,10,2,0,0,12
LIFE SCHOOL,'057807,5617,,"Multiple
Campus",, , , , , ,0,13,0,3,10
LIFE SCHOOL TOTAL,'057807,5617,,,5617, , , , , ,451,79,1,4,525
UNIVERSAL ACADEMY,'057808,2164,UNIVERSAL ACADEMY,'057808101,732, , , , , , , , , , 
UNIVERSAL ACADEMY,'057808,2164,UNIVERSAL ACADEMY - COPPELL,'057808102,1432, , , , , , , , , , 
UNIVERSAL ACADEMY TOTAL,'057808,2164,,,2164, , , , , , , , , , 
NOVA ACADEMY,'057809,120,NOVA ACADEMY,'057809101,120, , , , , , , , , , 
NOVA ACADEMY TOTAL,'057809,120,,,120, , , , , , , , , , 
ACADEMY OF DALLAS,'057810,252,ACADEMY OF DALLAS,'057810101,252, , , , , ,*,0,*,*,*
ACADEMY OF DALLAS TOTAL,'057810,252,,,252, , , , , ,*,0,*,*,*
TRINITY BASIN PREPARATORY,'057813,4298,TRINITY BASIN PREPARATORY,'057813101,2169, , , , , ,58,13,0,8,63
TRINITY BASIN PREPARATORY,'057813,4298,TRINITY BASIN PREPARATORY,'057813104,1711, , , , , ,68,14,0,8,74
TRINITY BASIN PREPARATORY,'057813,4298,TRINITY BASIN PREPARATORY INC,'057813105,418, , , , , ,16,3,0,4,15
"TRINITY BASIN PREPARATORY
TOTAL",'057813,4298,,,4298, , , , , ,142,30,0,20,152
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,323,"DALLAS COUNTY JUVENILE
JUSTICE",'057814001,199, , , , , ,*,0,*,*,*
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,323,DRC CAMPUS,'057814002,18, , , , , , , , , , 
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,323,MEDLOCK YOUTH VILLAGE,'057814003,80, , , , , , , , , , 
"ACADEMY FOR ACADEMIC
EXCELLENCE",'057814,323,LETOT CAMPUS,'057814005,26, , , , , , , , , , 
"ACADEMY FOR ACADEMIC
EXCELLENCE TOTAL",'057814,323,,,323, , , , , ,*,0,*,*,*
"A W BROWN LEADERSHIP
ACADEMY",'057816,1090,QUEST CAMPUS PRE-K THRU 8,'057816101,584, , , , , ,26,8,0,0,34
"A W BROWN LEADERSHIP
ACADEMY",'057816,1090,GENESIS CAMPUS PRE-K THRU 5,'057816102,506, , , , , ,17,6,0,0,23
"A W BROWN LEADERSHIP
ACADEMY TOTAL",'057816,1090,,,1090, , , , , ,43,14,0,0,57
JEAN MASSIEU ACADEMY,'057819,204,JEAN MASSIEU ACADEMY,'057819001,204, , , , , , , , , , 
"JEAN MASSIEU ACADEMY
TOTAL",'057819,204,,,204, , , , , , , , , , 
NOVA ACADEMY SOUTHEAST,'057827,559,NOVA ACADEMY CEDAR HILL,'057827101,114, , , , , , , , , , 
NOVA ACADEMY SOUTHEAST,'057827,559,NOVA ACADEMY PRICHARD,'057827102,445, , , , , , , , , , 
"NOVA ACADEMY SOUTHEAST
TOTAL",'057827,559,,,559, , , , , , , , , , 
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY CHARTER
SCHOOL (IRVING)",'057828001,137, , , , , ,*,0,*,*,*
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY CHARTER
SCHOOL (LEWISVILLE)",'057828002,178, , , , , ,*,0,*,*,*
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY CHARTER
SCHOOL (RICHARDSON)",'057828003,186, , , , , ,*,0,*,*,*
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY CHARTER
SCHOOL - GRAND PRAIRIE",'057828004,215, , , , , ,8,0,0,1,7
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY NORTH
RICHLAND HILLS",'057828005,265, , , , , ,11,0,0,3,8
"WINFREE ACADEMY CHARTER
SCHOOLS",'057828,1162,"WINFREE ACADEMY CHARTER
SCHOOL DALLAS",'057828006,181, , , , , ,10,1,0,2,9
"WINFREE ACADEMY CHARTER
SCHOOLS TOTAL",'057828,1162,,,1162, , , , , ,40,1,0,10,31
A+ ACADEMY,'057829,1446,A+ ACADEMY EL,'057829001,807, , , , , ,30,4,0,2,32
A+ ACADEMY,'057829,1446,A+ SECONDARY SCHOOL,'057829002,639, , , , , ,*,7,*,*,*
A+ ACADEMY TOTAL,'057829,1446,,,1446, , , , , ,*,11,*,*,*
